"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-19 17:55:00,17,"12/19/2020 23:55:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:50:00,17,"12/19/2020 23:50:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:45:00,17,"12/19/2020 23:45:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:40:00,17,"12/19/2020 23:40:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:35:00,17,"12/19/2020 23:35:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:30:00,17,"12/19/2020 23:30:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:25:00,17,"12/19/2020 23:25:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:20:00,17,"12/19/2020 23:20:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:15:00,17,"12/19/2020 23:15:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:10:00,17,"12/19/2020 23:10:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:05:00,17,"12/19/2020 23:05:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 17:00:00,17,"12/19/2020 23:00:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:55:00,16,"12/19/2020 22:55:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:50:00,16,"12/19/2020 22:50:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:45:00,16,"12/19/2020 22:45:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:40:00,16,"12/19/2020 22:40:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:35:00,16,"12/19/2020 22:35:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:30:00,16,"12/19/2020 22:30:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:25:00,16,"12/19/2020 22:25:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:20:00,16,"12/19/2020 22:20:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:15:00,16,"12/19/2020 22:15:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:10:00,16,"12/19/2020 22:10:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:05:00,16,"12/19/2020 22:05:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 16:00:00,16,"12/19/2020 22:00:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 15:55:00,15,"12/19/2020 21:55:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 15:50:00,15,"12/19/2020 21:50:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 15:45:00,15,"12/19/2020 21:45:00","wind_pen_actual",NA,2020-12-13 14:08:22
